text,label,char_len,word_count
lehké ovladani,1,14,2
realisticke,1,11,1
grafika krasna,1,14,2
lehce se prehreje konzole protoze edice 24 neni optimalizovana oproti 25,0,72,11
rychlé a intuitivní nastavení,1,29,4
jede bez problémů v menším bytě - signál všude,1,46,9
Dobrá rychlosť,1,14,2
Lahke nastavenie,1,16,2
Aplikacia,1,9,1
stará dobrá klasika z 90 let,1,28,6
Roky prověřený sofistikovaný toner.,1,35,4
Vydrží přes rok a dělá co má.,1,29,7
Doporučuji.,1,11,1
"Plné zapojení, včetně stínění!",1,30,4
funguje,1,7,1
design :D,0,9,2
Na tomhle snad není co zkazit :),1,32,7
Funguje bez problémov.,1,22,3
Funguje,1,7,1
Nemá klady ani zápory - prostě to funguje,1,41,8
"jsem moc rad, ze alza  prodava starsi typy techto kabelu. I kdyz to vypada, ze dnes je COM port a com kabel k nicemu, neni to pravda, v odborne technice nejpouzivanejsi  komunikace s PC, a nenahraditelna zadnou usb/com redukci.  Kvalitni provedeni kabelu,  toto zbozi je a bude stale potreba ...",1,295,50
zatim nevim ...,0,15,3
používám jen půlku kabelu a ta je OK :-D,1,40,9
Jde použít k programování,1,25,4
"bez komentáře, není co hodnotit",1,31,5
žádné,0,5,1
"potěší, že Alza vede skladem i toto, pro někoho ""archaické"" zboží -- RS232 je tu už asi 50 let (navrženo někdy v 60. letech 20. století) a pro nemálo aplikací stále dostačující volba (sběr dat z měřících přístrojů)",1,214,38
dobrá cena,1,10,2
Plne vyhovujici kabel,1,21,3
Různé délky v nabídce,1,21,4
"Měkká, poddajná",1,15,2
Splňuje účel,1,12,2
proste prodluzovak co dela co ma a zatim dobre,1,46,9
Kvalitní a bezpečný síťový napájecí kabel,1,41,6
Žádné,0,5,1
"Prodloužil jsem s ním kabel k monitoru, bylo to levnější, než celý 4m kabel",1,75,14
Není k dispozici ve verzi s 90° úhlem vývodu samice,0,51,10
predlžuje :-),1,13,2
dobré zpracování,1,16,2
"cena , kvalita",1,14,3
žádný problém,0,13,2
Vyhovuje mojim potrebám,1,23,3
funguje ako ma,1,14,3
"skoda, ze Alza nepredava samostatne konektor, alebo kabel predlzovaci do UPS , musel som druhu stranu odrezat, aby som si spravil vlastny",0,137,22
dostatečně dlouhý,1,17,2
Splňuje všechny očekávané potřeby,1,33,4
Super produkt,1,13,2
paráda,1,6,1
vyhovuje,1,8,1
dobrej kabel,1,12,2
Praktické,1,9,1
"Pro muj starší monitor potřeba, mám krátký kabel z grafické karty do monitoru potřeba prodloužení :)",1,100,16
Prostě prodlužovací kabel :),0,28,4
díky kabelu lze připojený přístroj umístit o dalších 5m dál od zásuvky,1,70,12
není bezdrátový,0,15,2
"má 5m a vede elektriku, splňuje co má",1,37,8
Spokojnosť,1,10,1
Fakt dobrý.,1,11,2
není co zkazit,1,14,3
"Bezproblémově funkční, co dodat...",1,34,4
barvy,1,5,1
velikost,1,8,1
zatim nic,0,9,2
Perfektní kvalita,1,17,2
"super praktická vec, nakúpil som ich desiatky a asi ešte ďalšie dokúpim",1,71,12
presne toto som potreboval,1,26,4
super cena,1,10,2
Funguje a spľňa svoj účel,1,25,5
Kábel - kábluje,1,15,3
"je to kábel, čo viac pozitívne dodať?",1,37,7
"Neskutočne vedie elektrický prúd, bol som ohromený ako hravo ci poradil s napätím 230V",1,86,14
skvelo sa zasúva do zásuvky,1,27,5
padne do ruky ako uliaty,1,24,5
Za tú cenu sa oplatia...,1,24,5
Napájí dle očekávání,1,20,3
Je to kabel který připojí 2 veci místo jedné,1,44,9
Nevaří kafe,0,11,2
Nepřipojí 3 veci a víc,0,22,5
"Výhoda pokud je málo konektorů ze zdroje, můj má například jen 2 a tato rozdvojka pomohla vyřešit připojení dalších komponentů",1,126,20
"Kabel jsem vrátil, neboť jsem dodatečně zjistil, že nepasuje do mého PC a musel jsem koupit stejný, ale pro SATA.",1,113,20
"Dělá, co se od ní čeká.",1,23,6
Prostě funguje - jsou to jen kabely a konektory :-),1,51,10
mam na tom napojednou grafiku a pri zatezi zadny problem. Neprehriva se jako kabliky od konkurence.,1,99,16
Za me spokojenost!,1,18,3
Spolehlivé rozbočení napájení ze zdroje,1,39,5
Doporučuji všem zákazníkům,1,26,3
Účel splní a funguje,1,20,4
Funguje ako má,1,14,3
Spĺňa účel,1,10,2
Použil som ho na napájanie grafickej karty (2xMOLEX) a 2x HDD,1,61,11
Doporučujem,1,11,1
Délka,1,5,1
Průřez vodičů,1,13,2
"spokojenost,funguje spolehlivě",1,30,2
Dobrá volba,1,11,2
funguje jak má,1,14,3
konektory nejsou nejlépe zpracované a špatně se zapojují,0,56,8
Funkční,1,7,1
vse OK,1,6,2
Očekávané,1,9,1
Rozviklaný,0,10,1
Funguje bez potíží.,1,19,3
"Bez problémů, vše OK, spokojenost",1,33,5
Splňuje svůj účel.,1,18,3
proste redukcia co funguje,1,26,4
dodane v pohode,1,15,3
vyborna vec.,1,12,2
Dobrá voľba ! :) Funguje ako má !,1,33,8
Nič ! :),0,8,3
na tomto moze byt len velmi tazko nieco nefunkcne :),1,52,10
da sa,0,5,2
Super cena,1,10,2
prijemna cena,1,13,2
Nitka.,0,6,1
spokojny,1,8,1
dobrý kábel,1,11,2
perfektní cen,1,13,2
slabší průřez vodičů,0,20,3
kvalitní kabel,1,14,2
"bubnové balení, lehké na přenos",1,31,5
kvalitní UTP,1,12,2
Pevna izolace,1,13,2
"Standartni kabel, o kterém nemusíte přemýšlet",1,45,6
cena rychlost dodávky,1,21,3
kvalita,0,7,1
trochu tuhsi PVC obal,0,21,4
Divně navržena pojistka občas nechtěně blokuje kleště,0,53,7
za cenu bezkonkurenční,1,22,3
pro klasické nestíněné kabely naprosto dostatečné,1,49,6
"není “cvaknutí”, které řekne, že je zakrimpované, jako začátečníka zmátlo",0,73,10
"nemá nastavitelné šířky nožů, lehce omylem přestřihnete datové kabely",0,69,9
"po cca 20 střihu obyčejného LAN kabelu bez ochrany (FTP, STP) praskly nože, teď nevím, kde je sehnat",0,100,18
"u pátého kabelu ohnuté zoubky a nezatlačí všechny piny na správné místo, takže živostnost kleští je dost pochybná",0,113,18
kleste se ruzne prohybaji - vyhozene penize - nedela to co ma delat,0,67,13
znicil jsem nekolik koncovek a ani jednou jsem neslozil funkcni kabel,0,69,11
zuby nezatlaci celou cast koncovky tak aby prosla dratky,0,56,9
Postačí,1,7,1
Perfektní,1,9,1
Pro občasné použití.,1,20,3
