text,label
lehké ovladani,1
realisticke,1
grafika krasna,1
lehce se prehreje konzole protoze edice 24 neni optimalizovana oproti 25,0
rychlé a intuitivní nastavení,1
jede bez problémů v menším bytě - signál všude,1
Dobrá rychlosť,1
Lahke nastavenie,1
Aplikacia,1
stará dobrá klasika z 90 let,1
Roky prověřený sofistikovaný toner.,1
Vydrží přes rok a dělá co má.,1
Doporučuji.,1
"Plné zapojení, včetně stínění!",1
funguje,1
design :D,0
Na tomhle snad není co zkazit :),1
Funguje bez problémov.,1
Funguje,1
Nemá klady ani zápory - prostě to funguje,1
"jsem moc rad, ze alza  prodava starsi typy techto kabelu. I kdyz to vypada, ze dnes je COM port a com kabel k nicemu, neni to pravda, v odborne technice nejpouzivanejsi  komunikace s PC, a nenahraditelna zadnou usb/com redukci.  Kvalitni provedeni kabelu,  toto zbozi je a bude stale potreba ...",1
zatim nevim ...,0
používám jen půlku kabelu a ta je OK :-D,1
Cena,1
1.8m,1
Jde použít k programování,1
"bez komentáře, není co hodnotit",1
žádné,0
funguje,1
nic,0
"potěší, že Alza vede skladem i toto, pro někoho ""archaické"" zboží -- RS232 je tu už asi 50 let (navrženo někdy v 60. letech 20. století) a pro nemálo aplikací stále dostačující volba (sběr dat z měřících přístrojů)",1
dobrá cena,1
Plne vyhovujici kabel,1
Cena,1
Různé délky v nabídce,1
"Měkká, poddajná",1
Funguje,1
Splňuje účel,1
proste prodluzovak co dela co ma a zatim dobre,1
Kvalitní a bezpečný síťový napájecí kabel,1
Žádné,0
"Prodloužil jsem s ním kabel k monitoru, bylo to levnější, než celý 4m kabel",1
Není k dispozici ve verzi s 90° úhlem vývodu samice,0
predlžuje :-),1
dobré zpracování,1
"cena , kvalita",1
žádný problém,0
Vyhovuje mojim potrebám,1
funguje ako ma,1
"skoda, ze Alza nepredava samostatne konektor, alebo kabel predlzovaci do UPS , musel som druhu stranu odrezat, aby som si spravil vlastny",0
dostatečně dlouhý,1
Splňuje všechny očekávané potřeby,1
Super produkt,1
Super produkt,1
paráda,1
vyhovuje,1
funguje,1
dobrej kabel,1
cena,1
Praktické,1
Cena,0
"Pro muj starší monitor potřeba, mám krátký kabel z grafické karty do monitoru potřeba prodloužení :)",1
Prostě prodlužovací kabel :),0
díky kabelu lze připojený přístroj umístit o dalších 5m dál od zásuvky,1
není bezdrátový,0
"má 5m a vede elektriku, splňuje co má",1
Spokojnosť,1
predlžuje :-),1
Fakt dobrý.,1
není co zkazit,1
"Bezproblémově funkční, co dodat...",1
cena,1
barvy,1
velikost,1
zatim nic,0
Perfektní kvalita,1
"super praktická vec, nakúpil som ich desiatky a asi ešte ďalšie dokúpim",1
presne toto som potreboval,1
super cena,1
Funguje a spľňa svoj účel,1
Kábel - kábluje,1
Nič,0
"je to kábel, čo viac pozitívne dodať?",1
"Neskutočne vedie elektrický prúd, bol som ohromený ako hravo ci poradil s napätím 230V",1
skvelo sa zasúva do zásuvky,1
padne do ruky ako uliaty,1
Za tú cenu sa oplatia...,1
Napájí dle očekávání,1
Good,1
Je to kabel který připojí 2 veci místo jedné,1
Nevaří kafe,0
Nepřipojí 3 veci a víc,0
"Výhoda pokud je málo konektorů ze zdroje, můj má například jen 2 a tato rozdvojka pomohla vyřešit připojení dalších komponentů",1
Nic,0
"Kabel jsem vrátil, neboť jsem dodatečně zjistil, že nepasuje do mého PC a musel jsem koupit stejný, ale pro SATA.",1
"Dělá, co se od ní čeká.",1
Nic.,0
OK,1
funguje,1
Prostě funguje - jsou to jen kabely a konektory :-),1
mam na tom napojednou grafiku a pri zatezi zadny problem. Neprehriva se jako kabliky od konkurence.,1
Za me spokojenost!,1
Spolehlivé rozbočení napájení ze zdroje,1
Doporučuji všem zákazníkům,1
Žádné,0
Účel splní a funguje,1
Funguje ako má,1
Spĺňa účel,1
Použil som ho na napájanie grafickej karty (2xMOLEX) a 2x HDD,1
Doporučujem,1
Délka,1
Průřez vodičů,1
Cena,0
funguje,1
cena,0
Funguje,1
"spokojenost,funguje spolehlivě",1
Dobrá volba,1
nic,0
ok,1
funguje jak má,1
konektory nejsou nejlépe zpracované a špatně se zapojují,0
nic,0
Funkční,1
vse OK,1
Očekávané,1
NIC,0
Rozviklaný,0
Funguje bez potíží.,1
"Bez problémů, vše OK, spokojenost",1
Splňuje svůj účel.,1
Nic.,0
proste redukcia co funguje,1
dodane v pohode,1
vyborna vec.,1
Dobrá voľba ! :) Funguje ako má !,1
Nič ! :),0
na tomto moze byt len velmi tazko nieco nefunkcne :),1
funguje ako ma,1
da sa,0
Super cena,1
prijemna cena,1
Nitka.,0
spokojny,1
dobrý kábel,1
perfektní cen,1
slabší průřez vodičů,0
cena,1
kvalitní kabel,1
"bubnové balení, lehké na přenos",1
kvalitní UTP,1
Pevna izolace,1
"Standartni kabel, o kterém nemusíte přemýšlet",1
cena rychlost dodávky,1
cena,1
cena,1
kvalita,0
cena,1
trochu tuhsi PVC obal,0
Cena,1
Divně navržena pojistka občas nechtěně blokuje kleště,0
za cenu bezkonkurenční,1
pro klasické nestíněné kabely naprosto dostatečné,1
"není “cvaknutí”, které řekne, že je zakrimpované, jako začátečníka zmátlo",0
"nemá nastavitelné šířky nožů, lehce omylem přestřihnete datové kabely",0
"po cca 20 střihu obyčejného LAN kabelu bez ochrany (FTP, STP) praskly nože, teď nevím, kde je sehnat",0
cena,1
"u pátého kabelu ohnuté zoubky a nezatlačí všechny piny na správné místo, takže živostnost kleští je dost pochybná",0
cena,1
kleste se ruzne prohybaji - vyhozene penize - nedela to co ma delat,0
znicil jsem nekolik koncovek a ani jednou jsem neslozil funkcni kabel,0
zuby nezatlaci celou cast koncovky tak aby prosla dratky,0
Postačí,1
Perfektní,1
Pro občasné použití.,1
Zoubky jsou mimo a nelze s nimi zacvaknout konektor,0
RJ45 klasika. Štípačky na kabel + odizoluje + krimpuje,1
Cena,1
Nesedí do konektoru.,0
přesně určeno na internetové kabely,1
"určeny jen pro uživatele, kteří vědí jak s nimi pracovat",0
cena,1
"kleště jsou kvalitní, nikde se nic neláme ani neničí",1
"kleště disponují řezacím mechanismem, není tedy třeba mít další nástroje.",1
"zarážka u mechanismu na řezání poloměru kabelu je otravná, téměř vždy musím kabel řezat dvakrát, jelikož je zarážka příliš blízko",0
cena,1
kvalita zpracování,1
"zoubky nesedi na vystupky konektoru, vráceno",0
"Jednoduche, levne",1
Funguji,1
Chybi mi funkce odstraneni obalu kabelu,0
Dobrý poměr výkon/cena,1
Nic,0
Very good,1
"Zakladni kleste, uspesnost tak 80%",1
Kleště dělájí co mají dělat,1
"Madla jsou kus naraženého plastu na železo, trochu v ruce klouzají",0
funkcni,1
nevim,0
Pokud si chcete dát doma dohromady kabel s konektory RJ45 tak bohatě stačí tyto kleště.,1
