text,label
"Po asi 3 měsících přestalo fungovat jedno sluchátko, ale po zaslání do servisu opět funkční",0
"Proste jabko, vše funguje jak má",1
"Hlasitost, kvalita zvuku ok",1
nevejdou se mi do uší pořád vypadávaji ….,0
"Jsem maximálně spokojená. Konečně sluchátka, u kterých mě slyší i lidi když jedu autobusem.",1
Přešel jsem po 9 letech z airpods 1. generace a rozdíl kvality zvuku je obrovský,1
"Myslela jsem, že Airpody budou kvalitativně na vyšší úrovni než jiná sluchátka, ale buď neumím poznat kvalitu nebo nebo tam žádná přidaná hodnota není. Čekala jsem víc.",1
apple - co jiného,1
ok,1
nic,0
"Poměr ,kvalita a cena v akci je přijatelná. Jinak reprodukce zvuku jen průměrná.",1
Zvuk,1
Nutnost pouzdra,0
"Protože to jsou pecky, zvuk je slyšet venku!!!",0
"Super cena, parádně hrají",1
Cena ,1
Rozhodně lepší než předchozí generace,1
Líp sedí,1
Sluchátka svěle hrají,1
Mají perfektní basy,1
Apple Kompatibilita,1
Vydrží dlouho hrát na plné nabití,1
nic,0
bezkonkurenční zvuk,1
cena,0
poměr cena / výkon,1
dobře sedí v uchu,1
dobrý zvuk,1
krásně sedí v uchu,1
super zvuk,1
velká výdrž,1
žádné,0
Sna jsou super,1
Krásný zvuk,1
Super basy,1
"ehm, nic extra za 3k",1
neumí ovládat hlasitost,0
zvuk jak sluchátka za litr,0
přecházím z galaxy buds live a jako dost downgrade,0
chytat furt na šulinka abych ovládal sluchátka a pak je zase srovnat do ucha a u toho si zas zastavit track... začarovaný kolečko,0
za 3000 ve slevě nechápu co jsem dostal,0
sluchátka z roku 2020 mi toho dala víc,0
úroveň sencoru,0
kvalita + baterie,1
cena,0
Jsou velice malý,1
Vzhledově jsou hezké,1
Nesedí do uší,0
Bolí z toho uši,0
"Super zvuk , dobrý funkce",1
Nic,0
Čistý zvuk a dlouhá výdrž baterie.,1
funkce,1
apple kompatibilita,1
"Když si pomyslím, že bych takto drahé pecky zratil, tak mi je do breku..",0
"zvuk je trochu tupý, nelze přizpůsobit",0
cena,0
"skvělý zvuk, pohodlné v uchu a zároveň drží pevně",1
integrace s iOS,1
sluchátka edifier za 500 hraji lépe,0
stačí jeden telefonát a baterie levého sluchátka ukazuje 35 a pravého 77 procent,0
nesedí v uchu,0
bomba,1
bez drátu je to prostě jednodušší,1
"celkem dlouhá výdrž baterie, sluchátka se pořád postupně dobíjí",1
riziko ztráty,0
Spokojen,1
Fantastické,1
Jsou super,1
"Příjemný poslech, kvalita provedení",1
rychlé doručení,1
fantastický zvuk,1
hned poznám když jsou připojená,1
rychlé připojení,1
nic,0
"super, dcera je naprosto spokojená",1
"není to top, druhé sluchátka lépe sedí v uších",0
nabíjení je přes starší koncovku,0
Pro mě velmi dobře drží v uchu,1
Krásný zvuk i basy,1
Rychlé připojení (zkušenost s iPhonem),1
Doplňují se s iPhone eco-systémem,1
výdrž na běžné užívání zcela dostačující,1
"hrají hezky, nicméně neočekávejte nic extra, basy odpovídají sluchátkům za 2 - 3 tisíce Kč",1
"na rozdíl od ostatních bezdrátových sluchátek jsou s plně kompatibilní s iPhonem, takže mi nezlobí připojování",1
"pokud máte na pouzdro jakýkoliv obal, je špatně vidět dioda na pouzdru (mohla by svítit více)",0
cena,1
vypadávání z uší,0
Mě osobně sluchátka nevypadávají z uší a mam pocit jako kdyby jsem v uších žádný sluchátka neměl,1
dobrý,1
Ocekavana kvalita,1
Vyssi cena,0
normalni airpods :-) pro mne jiz nekolikate a vzdy se vracim,1
Umi zapipat kdyz je hledate,1
Potlaceni sumu bohuzel stoji jeste vic,0
Kvalitní zvuk,1
Okolni hluk  není  slyšet ,1
Snadné spárování ,1
Perfektně drží v uchu ,1
Nevypadávají ani při sportu,1
Jednoduchá ovládání bez použití telefonu ,1
Skvělá cena za tuto značku sluchátek ,1
Při telefonování mě krásně slyší i druhá strana,1
Bohužel nabíječka není součástí,0
Zatím max spokojenost,1
Zvuk ok,1
"Za ty peníze to propustí hrozně moc hluku, pro cestování v MHD jsou nepoužitelné, protože slyšíte stejně úplně všechno zvenku, jak kdybyste sluchátka vlastně neměli. Vyplatí se připlatit si a koupit si ty s tou redukcí zvenku.",0
"Velmi pohodlné, už dlouho jsem si je přála",1
dlouhá výdrž,1
dobře sedí,1
"Jsou skvělá,",1
driv hrali dobre,1
hraji potichu i na max hlasitosti a vubec nehrajou jsou vadny a chci novy kus,0
zvuk,1
výdrž baterie,1
přepíná písničky,0
"velikost, jsou malinký a padaj mi z ruky",0
nadherny zvuk,1
krasne sedi v usich,1
"pomer cena vykon, vykon urcite vyhrava",1
super zvuk,1
"Produkt si vybrala dcera, jsou prý nejlepší :-)",1
"Měl jsem Huawei Free Buds 4i,a s těmito se to nedá srovnávat. Pro mě skvělý zvuk.",1
Blbě mi drží v uších.,0
Dobrý zvuk,1
Byla jsem zvyklá na poklep,0
Super,1
Perfektni,1
Mega super ,1
Výborný,1
Zvuk výrazně lepší než AirPods 2,1
Dobře sedí v uších,1
Okamžitá odezva,1
Prakticky malé,1
Dobrá výdrž na baterii,1
Rychlé nabíjení,1
Jsem nadšená je to kvalita.,1
skvěle padnou,1
Priestorový zvuk,1
Technológia,1
Frekvencie nad 7000Hz sú prehnané,0
Vďaka prehnaným výškám všetky možné plusy sa stávajú irrelevantným,0
Zážitok z počúvania hudby sa nekoná,0
Každým novým modelom sa zdá byť lacnejším a menej kvalitným produktom,0
Super zvuk,1
Apple produkt,1
Cena,0
cena,1
konektivita,1
prostě fungují jak je u applu zvykem,1
jiné značky mají kvalitnější audio,0
Zvuk,1
Oproti konkurenci suprove sedi a netlaci,1
Funkce pouze s iPhonem,1
Konektivita,1
Skladnost,1
kvalitní zvuk,1
dobře sedí,1
dobré stereo,1
"Skvělý zvuk, jednoduché párování se všemi zařízeními Apple, malinká a účinná krabička, dobrá výdrž nabití",1
Hrajou mega hezky,1
Cena,1
Slušný zvuk,1
Zvuk,1
Kvalitní výrobek,1
Rychlé dobíjení,1
zvuk,1
zavírání víčka zní dost lacně,0
víčko se kíve,0
Zvuk,1
Špatně drží v uších,0
Super kvalita zvuku,1
Kvalitní zvuk,1
Rychlé nabíjení,1
Kompaktní malé pouzdro,1
V uších drží dobře,1
Nelze bezdrátově nabíjet,0
Nic moc funkce,0
Kvalita zvuku,1
Propouští dost zvuku při nízké hlasitosti,0
Prostě ,1
Hrají opravdu skvěle,1
Jsou malé,1
Jsem spokojená,1
Malá krabička která se vejde všude,1
Nemám,0
"Super zvuk ,drží v uchu",1
Rychle se nabíjejí,1
Cena,0
Ovládání gesty,1
Rychlé párování s iPhonem 15 Pro Max,1
Dobrá kvalita zvuku,1
Dobrá kvalita mikrofonu při hovoru,1
Kvalita zvuku,1
"Špatně drží v uchu, cena",0
Skvělý zvuk! Oproti předchozím airpods2 neporovnatelné.,1
Lépe sedí v uších,1
Prostorový zvuk,1
Kompaktnější design a menší pouzdro,1
Ovládání poklepáním u airpods2 mi přišlo lepší,0
Zvuk,1
Komfort,1
Ekosystém,1
vydrz baterie,1
Skvěle hrajou i sedí.,1
Dobře mi sedí v uších,1
Nepadaji mi z uších při sportu,1
Dobrá hlasitost,1
Dobré basy,1
Nic,0
"Perfektně sedí v uších, hrají skvělě a to malé pouzdro je super :D",1
Zvuk,1
Vzhled,1
Propojení,1
Mikrofon,1
Funkce,1
"proste sqele sluchatka, jen skoda toho chybejiciho noise cancellingu",1
Super zvuk,1
sedi hezky v uchu,1
kolem je vše slyšet. kupte s ANC,0
Uzasny zvuk🤍,1
Skvele drzi v usich,1
Kvalita zpracování a zvuku,1
"Vratil jsem a koupil si 4 s aktivním potlačováním hluku, ktere maji i rezim propustnosti, diky kteremu se s nimi telefonuje jeste lepe (ale komu to staci, tak nemam co vytknout)",0
Dobré hraji,1
Bohužel jinak velké zklamání,0
"Ovládání dost nešťastné , poklepání bylo praktičtější",0
Dobrej zvuk,1
Jsou super 🙂,1
Nic,0
"Super připojení, dobrý zvuk a mikrofon pro telefonování",1
"Vůbec mi nedrží v uchu. Zkoušel jsem různé polohy 2 dny a nic, musel jsem je vrátit",0
"Prijemné, super hrají, ideál👌🏻",1
Jeste nejsou pouzdra k dostání 😁,0
kvalitní poslech,1
miniaturní balení,1
automatické párování,1
USB-C,1
mohli by trošku snížit cenu jinak OK,0
Zničená a špinavá krabička,0
Kvalitní zvuk,1
Komunikace se zařízeními Apple,1
"Již má 3. sluchátka Apple, dosud jsem nebyl spokojen s krátkou životností baterie. Tak uvidíme.",0
"Zdá se mi, že nejdou lehce vyndat z pouzdra",0
kvalitní zvuk,1
snadné připojení i k androidu,1
dlouhá výdrž,1
nesedí až tak dobře v uších,0
Kvalita zvuku,1
Cena,1
Propojenost mezi apple zažízeními,1
Kvalitní zvuk,1
Dobře sedí v uších,1
Po delším poslechu nebolí uši,1
"zatím nic, splňují očekávání",0
Kvalita zvuku,1
Použitelnost,1
Dobře sedí,1
Hlasitost,1
Zvuk,1
Sedí perfektně v uších,1
Přijímání/odmítnutí hovorů pohybem hlavy,1
